Id,0,1,2,3,
Translator,Japanese: DekoKiyo,English: DekoKiyo,SChinese:四个憨批汉化组 旧事 氢氧则名,Indonesia:,
,,,,,
# Settings
Language,言語:{0},Lang:{0},Lang:{0},Lang:{0},
AllLanguage,日本語,English,简体中文,Indonesia,
ModOptionsText,UMの設定,UM Options,极限职业选项,,
VanillaOptionsText,AmongUsの設定,AmongUs Options,原版选项,,
GeneralSettings,UMの設定,UM Settings,极限职业设置,,
CrewmateSettings,クルーメイト役職,Crewmate Roles,船员职业设置,,
ImpostorSettings,インポスター役職,Impostor Roles,伪装者职业设置,,
NeutralSettings,第三陣営役職,Neutral Roles,独立职业设置,,
ModifierSettings,属性役職,Modifier Roles,附加职业设置,,
OtherSettings,その他設定,Other Settings,其他职业设置,,
OptionOn,オン,On,开启,,
OptionOff,オフ,Off,关闭,,
FormatVotes,{0}票,{0}Votes,{0}票,,
FormatSeconds,{0}秒,{0}Sec,{0}秒,,
FormatTimes,{0}回,{0}Times,{0}次,,
FormatPlayer,{0}人,{0}Player,{0}人,,
FormatShots,{0}発,{0}Shots,{0}次,,
FormatPercent,{0}%,{0}%,{0}%,,
Preset1,プリセット1,Preset1,预设 1,,
Preset2,プリセット2,Preset2,预设 2,,
Preset3,プリセット3,Preset3,预设 3,,
Preset4,プリセット4,Preset4,预设 4,,
Preset5,プリセット5,Preset5,预设 5,,
,,,,,
# End Game Screen
CrewmateWin,クルーメイト陣営勝利,Team Crewmates Win,船员阵营获胜,,
ImpostorWin,インポスター陣営勝利,Team Impostors Win,内鬼阵营获胜,,
JesterWin,ジェスター勝利,Jester Win,小丑竟是我自己,,
TeamJackalWin,ジャッカル陣営勝利,Team Jackal Win,豺狼阵营获胜,,
ArsonistWin,アーソニスト勝利,Arsonist Win,飞船被火焰净化,,
ForceEnd,強制終了,ForceEnd,强制结束,,
EveryoneLose,全員敗北,Everyone Lose,无人生还,,
CrewWinExtra,クルーメイト{0}勝利,Crewmates {0} Win,船员阵营{0}获胜,,
ImpostorWinExtra,インポスター{0}勝利,Impostors {0} Win,伪装者阵营{0}获胜,,
JesterWinExtra,ジェスター{0}勝利,Jester {0} Win,小丑{0}获胜,,
ReactorWin,<size=80%>リアクターサボが発動した。</size>,<size=80%>Reactor Sabotage was activated.</size>,<size=80%>反应堆爆炸</size>,,
O2Win,<size=80%>酸素サボが発動した。</size>,"<size=80%>Oxygen Sabotage was activated,</size>",<size=80%>氧气耗尽</size>,,
TaskWin,<size=80%>タスクが全部完了した。</size>,<size=80%>All Tasks were completed.</size>,<size=80%>船员任务已完成</size>,,
OpportunistExtra,& <color=#00da00>オポチュニスト</color>,& <color#00da00>Oppotunist</color>,和<color#00da00>投机者</color>,,
FinishedByHost,ホストが強制終了を行った。,Force End with Host,房主强制结束游戏,,
RoleSummaryText,最終結果:,Roles and progress of all players:,结束时玩家职业：,,
RoleSummaryAlive,生存,Alive,存活,,
RoleSummarySabotage,サボ,Sabotage,破坏,,
RoleSummaryReactor,リアクターサボ,Reactor,反应堆爆炸,,
RoleSummaryExiled,追放,Exiled,放逐,,
RoleSummaryMisfire,誤爆,Misfire,走火,,
RoleSummarySuicide,自殺,Suicide,自杀,,
RoleSummaryDead,死亡,Dead,被害,,
RoleSummaryLackO2,酸素不足,LackO2,缺氧,,
RoleSummaryBomb,大爆発！,Bomb!,炸死,,
RoleSummaryDisconnected,切断,Disconnected,断连,,
RoleSummaryRevival,復活,Revival,复活,,
RoleSummaryTorched,焼殺,Torched,纵火,,
,,,,,
# Mod Credits
CreditsMain,制作:DekoKiyo,Created with DekoKiyo,模组作者：DekoKiyo,,
CreditsVersion,Version.{0},Version.{0},V.{0},,
CreditsBetaVersion,Version.Beta{0},Version.Beta{0},测试版 V.{0},,
DevName,"<align=""center"">製作者\nDekoKiyo\n</align>","<align=""center"">Developer\nDekoKiyo\n</align>","<align=""center"">制作者：\nDekoKiyo\n</align>",,
CreditsTitle,Modクレジット,Mod Credits,鸣谢,,
,,,,,
# In Game
PlatformTitle,===プレイヤー名：機種名===,===PlayerName : Platform===,===玩家名称：游戏设备===,,
MeetingStatus,<size=100%>クルー {0} は\n<color=red>残り{1}回、全体では{2}回</color>\n緊急会議を開催できる</size>,"<size=100%>Crewmate {0} has\n<color=red>{1} times left, {2} times overall</color>\ncan hold emergency meetings.</size>",<size=100%>{0} 还能召开\n<color=red>{1}次会议 .所有人还能召开 {2} 次</color>\n紧急会议.</size>,,
JesterMeetingButton,ジェスターは緊急会議を開けない…,Jester can't call meetings...,小丑不能召开紧急会议,,
RestrictOutOfTime,時間切れ,Out Of Time,超时,,
TimeRemaining,残り時間: {0},Remaining: {0},剩余时间:{0},,
ButtonBlocked,使用不可,BLOCKED,不能使用,,
,,,,,
# Update System
NoUpdate,アップデートがありません。\nこれが最新です。,There is no update.\nThis is latest version.,目前不需要更新。\n已更新至最新版本。,,
Updating,アップデート中…,Updating now…,正在更新中..,,
UpdateManually,アップデートに失敗しました。\n手動でやり直してください。,Unable to auto-update.\nPlease update manually.,无法自动更新。\n请尝试手动更新。,,
UpdateInProgress,アップデートが完了しました。\nAmongUsを終了します。\n再度起動してください。,Update finished.\nQuit Among Us.\nPlease start again.,更新完成。\n请退出游戏，\n并再次启动。,,
UpdateButton,Modアップデート,Mod Update,模组更新,,
UpdateRestart,アップデートが完了しました。\nAmongUsを終了します。\n再度起動してください。,Update finished.\nQuit Among Us.\nPlease start again.,更新完成。\n请退出游戏，\n并再次启动。,,
UpdateFailed,アップデートに失敗しました。\n手動でやり直してください。,Unable to auto-update.\nPlease update manually.,无法自动更新。\n请尝试手动更新。,,
,,,,,
# Debug
Position,座標:,Position:,位置：,,
ErrorNotInstalled,{0}のUltimateModsは正常に導入されていません。,{0} has a different or no version of UltimateMods,没有极限职业模组或模组版本不同,,
ErrorOlderVersion,{0}のUltimateModsのバージョンがこのバージョンより古いです。,{0} has an older version of UltimateMods,的极限职业模组版本较旧,,
ErrorNewerVersion,{0}のUltimateModsのバージョンがこのバージョンより新しいです。,{0} has a newer version of UltimateMods,的极限职业模组版本较新,,
ErrorWrongVersion,{0}のUltimateModsのバージョンがこのバージョンと違います。,{0} has a modified version of UM,的极限职业模组为修改过的版本,,
ErrorHostNoVersion,<color=#00a2ff>ホストがUltimateModsを導入していないかバージョンが違います。\nバグ防止のため、あなたはあと{0}秒でキックされます。</color>,<color=#00a2ff>The host has no or a different version of UltimateMods\nYou will be kicked in {0}s</color>,<color=#00a2ff>房主没有极限职业模组或模组版本不同\n你将在{0}秒后被踢出。</color>,,
,,,,,
# Client Options
GhostsSeeTasksButton,幽霊時全員の\nタスク残量が見える,Ghosts See\nRemaining Tasks,幽灵可见他人任务进度,,
GhostsSeeVotesButton,幽霊時全員の\n役職が見える,Ghosts See\nRoles,幽灵可见他人职业,,
GhostsSeeRolesButton,幽霊時全員の\n投票先が見える,Ghosts See\nVotes,幽灵可见他人投票,,
HideNameplates,ネームプレートを\n非表示にする,Hide\nNameplates,隐藏名牌,,
EnableCustomSounds,カスタムサウンドを\n使用する,Enable\nCustom Sounds,启用模组音效,,
ShowRoleSummaryButton,最終結果を\n表示する,Show\nRole Summary,显示职业总结,,
,,,,,
# Roles Name
Impostor,インポスター,Impostor,伪装者,,
Crewmate,クルーメイト,Crewmate,船员,,
Jester,ジェスター,Jester,小丑,,
Sheriff,シェリフ,Sheriff,警长,,
Engineer,エンジニア,Engineer,工程师,,
CustomImpostor,カスタムインポスター,Custom Impostor,自定义内鬼,,
UnderTaker,アンダーテイカー,Under Taker,送葬者,,
BountyHunter,バウンティハンター,Bounty Hunter,赏金猎人,,
Madmate,マッドメイト,Madmate,叛徒,,
Bakery,パン屋,Bakery,面包师,,
Teleporter,テレポーター,Teleporter,传送师,,
Altruist,アルトルイスト,Altruist,殉道者,,
Snitch,スニッチ,Snitch,告密者,,
Jackal,ジャッカル,Jackal,豺狼,,
Sidekick,サイドキック,Sidekick,跟班,,
EvilHacker,イビルハッカー,Evil Hacker,骇客,,
Adversity,逆境,Adversity,潜伏者,,
Seer,シーア,Seer,灵媒,,
Arsonist,アーソニスト,Arsonist,纵火犯,,
Star,スター,Star,,,
,,,,,
Opportunist,オポチュニスト,Opportunist,投机者,,
OpportunistPostfix,OP,OP,投机,,
,,,,,
# Roles Descripton
ImpostorIntro,サボタージュを行い全員を殺そう,Sabotage and Kill Everyone,破坏与击杀,,
ImpostorShort,サボタージュを行い全員を殺そう,Sabotage and Kill Everyone,破坏与击杀,,
ImpostorFull,通常の<color=#ff1919ff>インポスター</color>,A regular Impostor.,普通伪装者,,
,,,,,
CrewmateIntro,タスクを行う,Do Task.,找出内鬼,,
CrewmateShort,タスクを行う,Do Task.,找出内鬼,,
CrewmateFull,通常のクルーメイト,Normal Crewmate.,普通船员,,
,,,,,
JesterIntro,ここから出ていけ,Get out of here.,想办法被投出去,,
JesterShort,ここから出ていけ,Get out of here.,想办法被投出去,,
JesterFull,追放されれば勝利。/n<color=#FF1919FF>インポスター</color>などに殺されないようにしよう。,Get out of here to win. Not to be killed by <color=#FF1919FF>Impostors</color>.,小丑属于独立阵营。如果小丑在会议中被投出，小丑单独获胜。\n小丑不会被伪装者击杀。,,
,,,,,
SheriffIntro,<color=#FF1919FF>インポスターたち</color>を撃ち抜け,Shoot the <color=#FF1919FF>Impostors</color>,干掉<color=#FF1919FF>伪装者</color>,,
SheriffShort,<color=#FF1919FF>インポスターたち</color>を撃ち抜け,Shoot the <color=#FF1919FF>Impostors</color>,干掉<color=#FF1919FF>伪装者</color>,,
SheriffFull,<color=#FF1919FF>インポスターたち</color>を撃ち抜け,Shoot the <color=#FF1919FF>Impostors</color>,警长拥有击杀伪装者的能力。\n如果警长试图击杀一名船员，他会以死谢罪。,,
,,,,,
EngineerIntro,メンテナンスを欠かすな,Let's Maintenance.,维修飞船上的重要设备,,
EngineerShort,メンテナンスを欠かすな,Let's Maintenance.,修理飞船,,
EngineerFull,サボタージュを直したり、ベントに入ることができる。,You can repair Sabotage with button and enter vents.,工程师存活时每局游戏可以在任何位置修理若干次飞船破坏。\n工程师可以使用管道。,,
,,,,,
CustomImpostorIntro,改造されてしまった！,I was customized!,你的能力由房间设置决定,,
CustomImpostorShort,改造されてしまった！,I was customized!,你的能力由房间设置决定,,
CustomImpostorFull,個別の設定が可能なインポスター,This is an individually configurable crook.,自定义伪装者的各项功能可以自由配置。,,
,,,,,
UnderTakerIntro,死体を運べ,Kill and Move DeadBody,拖动并隐藏尸体,,
UnderTakerShort,死体を運べ,Kill and Move DeadBody,拖动并隐藏尸体,,
UnderTakerFull,死体をどこへでも動かすことができる。\n死体を隠して全員を殺そう。,You can Move Dead Body anywere. Hide Dead Bodies and Kill Everyone.,你可以移动到尸体任何地方。\n悄无声息的隐藏尸体并杀死所有人。,,
,,,,,
MadmateIntro,インポスターを助けよう,Help the Impostors,帮助伪装者,,
MadmateShort,インポスターを助けよう,Help the Impostors,帮助伪装者,,
MadmateFull,インポスターを助けよう,Help the Impostors,帮助伪装者,,
,,,,,
BakeryIntro,おいしいパンを作ろう,Bake a bread.,考出美味的面包,,
BakeryShort,パンを焼こう,Bake a bread.,考出美味的面包,,
BakeryFull,生きているときにパンを焼いて、\nみんなにパン屋がいることを伝えよう。,Bake bread while you're alive and let everyone know the baker is alive.,面包师在存活时每一轮的会议都会给出面包师存在的信息,,
,,,,,
TeleporterIntro,テレポートでみんなを惑わせよう,Confuse everyone with teleport.,传送至他人身边,,
TeleporterShort,テレポートしよう,Let's Teleport.,传送至他人身边,,
TeleporterFull,ランダムなプレイヤーにテレポートできる。,You can teleport to a random player.,你会随机传送至一名玩家的位置,,
,,,,,
AltruistIntro,自らを犠牲にして、クルーを復活させよう,Sacrifice yourself to revive your crew.,利用你的生命复活一名船员,,
AltruistShort,クルーを復活させよう。,Revive Crewmates.,舍己救人,,
AltruistFull,自らを犠牲にしてクルーを復活させる。,Sacrifice yourself to revive your crew.,利用你的生命复活一名船员,,
,,,,,
SnitchIntro,タスクを早く済ませて<color=#FF1919FF>インポスター</color>を暴こう,Finish your tasks to find the <color=#FF1919FF>Impostors</color>.,完成你的任务并找出<color=#FF1919FF>伪装者</color>,,
SnitchShort,タスクを早く終わらせよう,Finish your tasks.,完成你的任务,,
SnitchFull,タスク完了時に<color=#ff1919ff>インポスターたち</color>が誰なのかわかる\n終了したら相手からもバレてしまうので注意しよう。,Arrows will appear (only visible to the Snitch)\nthat point to the Impostors (depending on the options also to members of team Jackal)\nwhen the Snitch finishes all the tasks.\nBut Impostors notice you are snitch.,当告密者完成任务后可见对伪装者阵营和豺狼阵营（取决于设置是否开启）的箭头，同时伪装者和豺狼也会得知作为告密者的你已经完成任务,,
,,,,,
JackalIntro,全員殺しちゃえ!,Kill All Crewmates!,杀死所有人,,
JackalShort,全員殺しちゃえ!,Kill All Crewmates!,杀死所有人,,
JackalFull,<color=#ff1919ff>インポスター</color>、<color=#8cffffff>クルー</color>、<color=#ffff00ff>その他陣営</color>全員を殺すことができる\n<color=#00b4ebff>サイドキック</color>を作り出すことができる\n<color=#00b4ebff>ジャッカル</color>以外全員を消し去ろう,You are Team <color=#00b4ebff>Jackal</color>\nHelp <color=#00b4ebff>Jackal</color>.\nPromote to <color=#00b4ebff>Jackal</color> when <color=#00b4ebff>Jackal</color> is gone,可以杀害<color=#ff1919ff>伪装者</color>," <color=#8cffffff>船员</color>和<color=#ffff00ff>中立</color>\n并且可以招募一个<color=#00b4ebff>跟班</color>帮助<color=#00b4ebff>豺狼</color>杀死所有人",
,,,,,
SidekickShort,<color=#00b4ebff>ジャッカル</color>を助けよう。,Help <color=#00b4ebff>Jackal</color>,帮助豺狼杀死所有人,,
SidekickFull,<color=#00b4ebff>ジャッカル</color>に加担する<color=#00b4ebff>ジャッカル</color>陣営\n<color=#00b4ebff>ジャッカル</color>がいなくなったときに<color=#00b4ebff>ジャッカル</color>に昇格する,You are Team <color=#00b4ebff>Jackal</color>\nHelp <color=#00b4ebff>Jackal</color>.\nPromote to <color=#00b4ebff>Jackal</color> when <color=#00b4ebff>Jackal</color> is gone,你现在是<color=#00b4ebff>豺狼阵营</color>的一员了\n帮助<color=#00b4ebff>豺狼</color>获胜\n当现在的<color=#00b4ebff>豺狼</color>死去你将成为新的<color=#00b4ebff>豺狼</color>,,
,,,,,
EvilHackerIntro,行動を監視しよう,Let's monitor their behavior.,利用主控台监视船员,,
EvilHackerShort,皆はどこ？,Where is everyone?,利用主控台监视船员,,
EvilHackerFull,いつでもどこでもアドミンを使うことができる。,"Admin can be used anytime, anywhere.",你可以随时随地查看主控台,,
,,,,,
AdversityIntro,逆境を力に。,Adversity to Power.,伪装者的王牌,,
AdversityShort,逆境を力に。,Adversity to Power.,飞船将是你表演的舞台,,
AdversityFull,インポスターが一人の場合、キルクールダウンが減少する。\nまた、設定でインポスターが一人の場合は最初から逆境状態になる。,"If there is only one imposter, the kill cooldown is reduced.\nAlso, if there is only one imposter in the setting, the imposter will be in adversity from the beginning.",当飞船上只有你一个伪装者时，进入逆境状态且击杀冷却降低\n若设置一伪装者，则一开始就进入逆境状态,,
,,,,,
SeerIntro,他人の死んだ瞬間がわかる,You will see players die.,你能预见死亡,,
SeerShort,他人の死んだ瞬間がわかる,You will see players die.,你能预见死亡,,
SeerFull,誰かが死んだ瞬間に画面全体が青く光る\n誰かが死んだ日の会議後に死体位置に行くと幽霊が見える,"The Seer has two abilities (one can activate one of them or both in the options).\nThe Seer sees the souls of players that died a round earlier, the souls slowy fade away.\nThe Seer gets a blue flash on their screen, if a player dies somewhere on the map.",灵媒有两种能力（可以选择同时开启也可只开启一种），灵媒可以看见上轮位于死亡位置的灵魂，灵魂会慢慢消逝\n若有人在飞船中死亡，则灵媒的屏幕会有蓝色闪光,,
,,,,,
ArsonistIntro,全員燃やせ,Let them burn,让火焰熊熊燃烧,,
ArsonistShort,全員燃やせ,Let them burn.,燃烧吧,,
ArsonistFull,全プレイヤーにガソリンを塗ることができる\n全プレイヤーにガソリンを塗ることができたとき放火すると勝利する\n死んだプレイヤーはカウントされない,"The Arsonist does not have any tasks, they have to win the game solo.\nThe Arsonist can douse other players by pressing the douse button and remaining\nnext to the player for a few seconds.\nIf the player that the Arsonist douses walks out of range, the cooldown will reset to 0.\nAfter dousing everyone alive the Arsonist can ignite all the players which results in\nan Arsonist win.",纵火犯没有任务，需要独自达成目的获胜。\n纵火犯需要在玩家旁停留几秒涂油，并在给所有人涂油后使用“纵火”则纵火犯获胜,,
,,,,,
StarIntro,輝け！,Shine on!,,,
StarShort,目立て！,Stand out!,,,
StarFull,一定の条件を達成するとすべての人から名前の色が<color=#ffd700>黄色</color>に見える,"When certain conditions are achieved, the color of the name appears <color=#ffd700>yellow</color> from all people.",,,
,,,,,
# Custom Options
ChangePage,< >でページを変更,"Press < > for Change Pages,",按 < > 以便查看其他内容,,
BlockSkip,スキップ投票禁止,Can't Skip Vote,禁止弃票,,
ActivateRoles,Mod役職有効化,Activate Mod Roles,启用模组职业,,
PresetSelection,プリセット,Preset,预设,,
RandomGen,強力な乱数生成機,Random Generator,启用强随机生成模式,,
CrewmateRoles,クルーメイト陣営役職,Crewmate Roles,船员职业数,,
NeutralRoles,第三陣営役職,Neutral Roles,独立职业数,,
ImpostorRoles,インポスター陣営役職,Impostor Roles,伪装者职业数,,
ModifierRoles,属性陣営役職,Modifier Roles,附加职业数,,
CrewmateRolesCount,クルーメイト陣営役職数,Crewmate Roles Count,船员职业数,,
NeutralRolesCount,第三陣営役職数,Neutral Roles Count,独立职业数,,
ImpostorRolesCount,インポスター陣営役職数,Impostor Roles Count,伪装者职业数,,
ModifierCount,属性役職数,Modifier Roles Count,附加职业数,,
MaxNumberOfMeetings,緊急会議の最大回数,Maximum Can Emergency Meetings,最大紧急会议次数,,
NoVoteIsSelfVote,自投票禁止,Can't Self Vote,禁止自票,,
NoMedBayLimit,医務室のスキャンタスクを同時に進行できる,Can Simultaneous Progress Med Bay Scan,允许同时进行扫描,,
HideOutName,ネームタグの壁抜けを防止,NameTag doesn't Cross the Wall,玩家名字不会穿过墙壁,,
HidePlayerName,プレイヤー名非表示,Hide Player Name,隐藏玩家名字,,
RefundVoteDeath,投票先が死亡した時、再投票可,Refund Votes on Death Player,若投票的人在会议时死亡可再次投票,,
MirrorMap,反転マップを有効化,Enable Mirror Maps,启用镜像地图,,
CanZoomInOutDead,死亡時、ズームイン&アウト可能,Can Zoom In&Out When Player is Dead,玩家死后可以缩放视野,,
PlayRandomMaps,ランダムマップモード,Enable Random Maps,随机游玩地图,,
RandomMapsEnableSkeld,The Skeld,The Skeld,可随机到 The Skled,,
RandomMapsEnableMira,MiraHQ,MiraHQ,可随机到 Mira HQ,,
RandomMapsEnablePolus,Polus,Polus,可随机到 Polus,,
RandomMapsEnableAirShip,AirShip,AirShip,可随机到 Airship,,
RestrictDevices,特殊装置の制限,Restrict Special Devices,限制特殊装置可使用时间,,
DisableAdmin,アドミンの制限時間,Restrict Admin Table,管理室地图使用时间,,
DisableCameras,カメラの制限時間,Restrict Security Devices,限制监控使用时间,,
DisableVitals,バイタルの制限時間,Restrict Vitals Panel,限制生命检测装置使用时间,,
RestrictPerTurn,ターン毎,Time Per Round,每轮行动阶段的限制时间时间,,
RestrictPerGame,試合毎,Time Per Game,每局游戏的限制时间,,
AirShipSettings,AirShipの設定,AirShipSettings,飞艇地图设定,,
OldAirShipAdmin,旧AirShipアドミン仕様,Old AirShip Admin System,使用旧版飞艇管理室地图,,
